locationId,name,postcode,sector,registrationStatus,registrationDate,careHome,services,in_jan_2026_spreadsheet,jan_2026_match_kind,jan_2026_loc_id,jan_2026_name,jan_2026_postcode,jan_2026_service_types,already_in_live_but_different_services,live_services_before,classification,locationURL
1-10205034750,Sparkles Healthcare Ltd,KT22 9AD,KT22 9,Registered,2021-01-13,N,Homecare agencies;Supported living,True,id_match,1-10205034750,Sparkles Healthcare Ltd,KT22 9AD,Homecare agencies,True,Homecare agencies,existing_record_now_admitted_by_updated_services,https://www.cqc.org.uk/location/1-10205034750
1-12912136939,ALD Support Limted,TW20 9EX,TW20 9,Registered,2022-04-07,N,Homecare agencies;Supported living,True,id_match,1-12912136939,ALD Support Limted,TW20 9EX,Homecare agencies,True,Homecare agencies,existing_record_now_admitted_by_updated_services,https://www.cqc.org.uk/location/1-12912136939
1-2112646035,Acacia Homecare Limited,TW16 7EL,TW16 7,Registered,2015-07-07,N,Homecare agencies;Supported living,True,id_match,1-2112646035,Acacia Homecare Limited,TW16 7EL,Homecare agencies,True,Homecare agencies,existing_record_now_admitted_by_updated_services,https://www.cqc.org.uk/location/1-2112646035
1-27713065213,Adelaide House Care Home,KT12 1JJ,KT12 1,Registered,2026-06-01,Y,Nursing homes,True,name+pc_match,1-3054389810,Adelaide House Care Home,KT12 1JJ,Nursing homes,False,,previously_supplied_under_different_locationId,https://www.cqc.org.uk/location/1-27713065213
1-27776403415,Walton Park Care Home,KT12 3BH,KT12 3,Registered,2026-06-22,Y,Nursing homes,True,name+pc_match,1-3857230256,Walton Park Care Home,KT12 3BH,Nursing homes|Residential homes,False,,previously_supplied_under_different_locationId,https://www.cqc.org.uk/location/1-27776403415
1-27951818739,SeeAbility Surrey North Support Service,KT22 7AH,KT22 7,Registered,2026-05-14,N,Supported living,False,none,,,,,False,,genuinely_new_since_january_2026,https://www.cqc.org.uk/location/1-27951818739
1-27990008429,Laurel Dene,TW12 1JQ,TW12 1,Registered,2026-07-01,Y,Nursing homes,True,name+pc_match,1-139851978,Laurel Dene,TW12 1JQ,Nursing homes,False,,previously_supplied_under_different_locationId,https://www.cqc.org.uk/location/1-27990008429
1-28240862424,Hallmark Esher Residences Luxury Care Home,KT10 9JH,KT10 9,Registered,2026-06-30,Y,Nursing homes,False,none,,,,,False,,genuinely_new_since_january_2026,https://www.cqc.org.uk/location/1-28240862424
1-310870757,The Grange Supported Living Service,KT23 4DZ,KT23 4,Registered,2011-09-21,N,Homecare agencies;Supported living,True,id_match,1-310870757,The Grange Supported Living Service,KT23 4DZ,Homecare agencies|Supported living,False,,previously_supplied_but_missing_from_hub,https://www.cqc.org.uk/location/1-310870757
1-3534741180,Swallowfields Care Centre,KT17 4DB,KT17 4,Registered,2017-02-25,Y,Residential homes,True,id_match,1-3534741180,Swallowfields Care Centre,KT17 4DB,Residential homes,False,,previously_supplied_but_missing_from_hub,https://www.cqc.org.uk/location/1-3534741180
1-359898714,Rosclare Residential Home Limited,KT6 7BZ,KT6 7,Registered,2012-01-22,Y,Residential homes,True,id_match,1-359898714,Rosclare Residential Home Limited,KT6 7BZ,Residential homes,False,,previously_supplied_but_missing_from_hub,https://www.cqc.org.uk/location/1-359898714
1-3626380476,Reedsfield Care Ltd,TW20 9HE,TW20 9,Registered,2017-03-23,N,Homecare agencies;Supported living,True,id_match,1-3626380476,Reedsfield Care Ltd,TW20 9HE,Homecare agencies|Supported living,False,,previously_supplied_but_missing_from_hub,https://www.cqc.org.uk/location/1-3626380476
1-3837014544,Optima Care Shine London Limited,TW11 8LZ,TW11 8,Registered,2017-05-22,N,Supported living,True,id_match,1-3837014544,Optima Care Shine London Limited,TW11 8LZ,Supported living,False,,previously_supplied_but_missing_from_hub,https://www.cqc.org.uk/location/1-3837014544
1-3857230256,Walton Park Care Home,KT12 3BH,KT12 3,Registered,2017-05-26,Y,Nursing homes,True,id_match,1-3857230256,Walton Park Care Home,KT12 3BH,Nursing homes|Residential homes,False,,previously_supplied_but_missing_from_hub,https://www.cqc.org.uk/location/1-3857230256
